Sexo;Vigencia;Edad;qx;Defunciones;Expuestos
M;2001;58;0,00636;38;5979
M;1997;58;0,00635;23;3625
M;2002;60;0,00634;39;6151
M;2004;61;0,00624;46;7370
M;1999;57;0,00622;32;5146
M;2006;61;0,00620;56;9027
M;2007;60;0,00614;62;10095
M;1999;61;0,00609;26;4268
M;2004;59;0,00603;49;8129
M;2005;58;0,00602;55;9142
M;2006;57;0,00593;57;9616
M;2001;61;0,00589;30;5094
M;2005;59;0,00588;52;8847
M;2004;58;0,00581;48;8266
M;2000;57;0,00574;32;5576
M;2004;60;0,00555;42;7565
M;1999;59;0,00542;25;4611
M;2002;45;0,00542;1;185
M;1997;57;0,00541;21;3884
M;2006;60;0,00540;50;9260
M;2000;45;0,00539;1;186
M;2003;57;0,00534;41;7679
M;2003;60;0,00530;37;6977
M;2007;58;0,00526;54;10265
M;1998;59;0,00517;20;3872
M;2000;59;0,00506;24;4741
M;1998;56;0,00504;23;4560
M;2000;60;0,00495;24;4846
M;1997;55;0,00487;20;4103
M;1999;45;0,00487;1;206
M;2000;56;0,00485;27;5567
M;2004;57;0,00485;41;8454
M;1997;56;0,00484;18;3721
M;2002;52;0,00479;23;4807
M;2001;56;0,00478;30;6277
M;1999;54;0,00475;21;4426
M;2002;56;0,00474;32;6752
M;1997;54;0,00456;16;3507
M;2000;54;0,00453;21;4635
M;1999;55;0,00452;23;5092
M;2001;55;0,00451;27;5986
M;2005;57;0,00450;41;9113
M;1997;52;0,00447;15;3354
M;2004;56;0,00444;37;8325
M;2006;58;0,00435;42;9661
M;2001;53;0,00433;20;4623
M;2002;59;0,00424;27;6362
M;2007;53;0,00424;35;8265
M;1997;51;0,00419;13;3102
M;2004;53;0,00419;27;6444
M;2000;46;0,00418;2;479
M;2001;59;0,00416;24;5773
M;2001;52;0,00413;17;4119
M;2006;59;0,00407;39;9592
M;2006;56;0,00406;39;9604
M;2001;54;0,00404;20;4948
M;1999;56;0,00403;21;5212
M;2003;54;0,00397;24;6043
M;2007;54;0,00397;35;8817
M;2001;57;0,00395;24;6070
M;1998;54;0,00395;15;3796
M;1999;52;0,00395;15;3799
M;2003;58;0,00392;30;7650
M;2007;57;0,00392;41;10461
M;2005;54;0,00391;29;7409
M;2005;56;0,00391;35;8942
M;2002;53;0,00384;19;4946
M;1999;58;0,00381;17;4459
M;1999;53;0,00381;16;4205
M;1998;55;0,00379;17;4481
M;2002;54;0,00375;20;5337
M;2003;52;0,00374;21;5611
M;2003;55;0,00374;28;7484
M;2006;54;0,00364;30;8241
M;1998;53;0,00363;14;3856
M;1997;53;0,00359;12;3345
M;2002;58;0,00353;23;6515
M;2003;53;0,00351;21;5980
M;2002;55;0,00350;23;6575
M;2001;47;0,00349;4;1146
M;2003;56;0,00348;27;7751
M;1998;47;0,00347;3;866
M;2006;53;0,00346;27;7805
M;2004;55;0,00341;27;7921
M;2006;55;0,00338;31;9175
M;2002;57;0,00336;23;6848
M;2006;49;0,00330;13;3936
M;2000;51;0,00327;11;3366
M;2000;52;0,00327;13;3979
M;2000;55;0,00319;18;5640
M;2005;55;0,00319;28;8781
M;2002;50;0,00318;12;3774
M;2005;51;0,00312;19;6097
M;2005;53;0,00309;23;7445
M;1998;50;0,00307;8;2603
M;2007;55;0,00307;31;10091
M;2001;51;0,00307;12;3908
M;1998;52;0,00304;11;3614
M;1999;51;0,00295;10;3389
M;2004;48;0,00295;7;2375
M;2007;52;0,00295;22;7465
M;1998;51;0,00293;9;3075
M;2005;50;0,00287;14;4884
M;1997;50;0,00285;7;2454
M;2002;51;0,00283;12;4240
M;2004;54;0,00281;19;6773
M;2002;49;0,00277;8;2891
M;1997;46;0,00275;1;364
M;2007;56;0,00275;28;10200
M;2001;48;0,00266;5;1880
M;2001;49;0,00257;7;2723
M;2005;52;0,00250;17;6800
M;2001;50;0,00244;8;3283
M;2006;51;0,00229;14;6110
M;2000;50;0,00229;7;3059
M;2004;47;0,00229;3;1313
M;1998;46;0,00228;1;439
M;2007;51;0,00226;15;6649
M;2002;46;0,00225;1;444
M;2006;52;0,00225;16;7127
M;2003;47;0,00220;3;1362
M;1999;50;0,00218;6;2749
M;2004;51;0,00214;12;5596
M;2005;49;0,00213;8;3754
M;2000;49;0,00210;5;2387
M;2000;53;0,00208;9;4327
M;1998;48;0,00207;3;1447
M;2005;46;0,00206;1;485
M;2002;48;0,00203;4;1967
M;2005;48;0,00199;5;2519
M;2006;50;0,00194;10;5155
M;2007;50;0,00188;11;5850
M;2004;52;0,00188;12;6395
M;2003;51;0,00186;10;5367
M;2007;48;0,00183;5;2732
M;2003;48;0,00172;4;2324
M;2004;49;0,00168;6;3563
M;2004;50;0,00167;8;4803
M;2007;49;0,00164;7;4278
M;2005;47;0,00161;2;1246
M;2003;46;0,00147;1;679
M;2003;50;0,00135;6;4459
M;1999;49;0,00129;3;2318
M;1997;47;0,00126;1;795
M;2006;48;0,00124;3;2415
M;1999;48;0,00121;2;1652
M;2003;49;0,00112;4;3583
M;1997;49;0,00103;2;1935
M;1999;47;0,00094;1;1059
M;2002;47;0,00094;1;1065
M;2000;47;0,00091;1;1094
M;1997;48;0,00078;1;1284
M;2000;48;0,00057;1;1764
M;1998;49;0,00051;1;1953
M;1997;43;0,00000;0;1
M;1998;43;0,00000;0;4
M;1999;43;0,00000;0;5
M;2000;43;0,00000;0;4
M;2001;43;0,00000;0;16
M;2002;43;0,00000;0;5
M;2003;43;0,00000;0;5
M;2004;43;0,00000;0;2
M;2005;43;0,00000;0;2
M;2007;43;0,00000;0;2
M;1997;44;0,00000;0;35
M;1998;44;0,00000;0;42
M;1999;44;0,00000;0;55
M;2000;44;0,00000;0;31
M;2001;44;0,00000;0;54
M;2002;44;0,00000;0;59
M;2003;44;0,00000;0;75
M;2004;44;0,00000;0;49
M;2005;44;0,00000;0;41
M;2006;44;0,00000;0;30
M;2007;44;0,00000;0;28
M;1997;45;0,00000;0;127
M;1998;45;0,00000;0;152
M;2001;45;0,00000;0;187
M;2003;45;0,00000;0;246
M;2004;45;0,00000;0;211
M;2005;45;0,00000;0;128
M;2006;45;0,00000;0;133
M;1999;46;0,00000;0;564
M;2001;46;0,00000;0;517
M;2006;46;0,00000;0;364
M;2007;46;0,00000;0;416
M;2006;47;0,00000;0;1126
M;2007;47;0,00000;0;1251
M;2005;103;0,00000;0;3
M;2007;105;0,00000;0;1
M;2006;106;0,00000;0;3
M;2007;107;0,00000;0;2
